site_id,mgmt_unit_id,survey_year,action,native_cover,native_indicators,plant_community,state,state_daren,state_condensed,state_binary
1,1,2009,Rest,N0,I1,Herb,4,4,3,4
1,1,2009,Rest,N25,I0,Shrub,5,5,5,1
1,1,2009,Rest,N0,I0,Herb,3,2,2,2
1,1,2011,Burn,N75,I2,Herb,20,20,12,8
1,1,2011,Burn,N75,I2,Herb,20,20,12,8
1,1,2011,Burn,N75,I1,Herb,19,18,12,8
1,1,2011,Burn,N0,I0,Herb,3,2,2,2
1,1,2011,Burn,N75,I2,Herb,20,20,12,8
1,1,2011,Burn,N75,I0,Herb,18,16,10,6
1,1,2011,Burn,N75,I2,Herb,20,20,12,8
1,1,2011,Burn,N0,I2,Herb,4,4,3,4
1,1,2011,Burn,N75,I2,Herb,20,20,12,8
1,1,2011,Burn,N75,I1,Herb,19,18,12,8
1,1,2011,Burn,N0,I0,Shrub,1,1,1,1
1,1,2011,Burn,N0,I0,Herb,3,2,2,2
1,1,2017,Rest,N75,I1,Herb,19,18,12,8
1,1,2017,Rest,N75,I2,Herb,20,20,12,8
1,1,2017,Rest,N75,I2,Herb,20,20,12,8
1,1,2017,Rest,N75,I1,Herb,19,18,12,8
1,1,2017,Rest,N25,I0,Herb,7,6,6,2
1,1,2017,Rest,N75,I2,Shrub,17,19,11,7
1,1,2017,Rest,N75,I1,Herb,19,18,12,8
1,1,2017,Rest,N75,I0,Herb,18,16,10,6
1,1,2017,Rest,N75,I2,Herb,20,20,12,8
1,1,2017,Rest,N0,I1,Herb,4,4,3,4
1,1,2017,Rest,N75,I2,Herb,20,20,12,8
1,1,2017,Rest,N75,I2,Herb,20,20,12,8
1,1,2017,Rest,N75,I0,Shrub,15,15,9,5
1,1,2017,Rest,N50,I0,Herb,12,10,6,6
1,5,2009,Rest,N75,I2,Herb,20,20,12,8
1,5,2009,Rest,N50,I1,Herb,13,12,8,8
1,5,2009,Rest,N75,I1,Herb,19,18,12,8
1,5,2009,Rest,N0,I2,Herb,4,4,3,4
1,5,2009,Rest,N0,I1,Herb,4,4,3,4
1,5,2009,Rest,N0,I1,Herb,4,4,3,4
1,5,2009,Rest,N0,I0,Herb,3,2,2,2
1,5,2009,Rest,N75,I1,Herb,19,18,12,8
1,5,2009,Rest,N0,I1,Herb,4,4,3,4
1,5,2009,Rest,N0,I1,Herb,4,4,3,4
1,5,2011,Rest,N75,I2,Herb,20,20,12,8
1,5,2011,Rest,N75,I1,Herb,19,18,12,8
1,5,2011,Rest,N25,I1,Shrub,6,7,7,3
1,5,2011,Rest,N0,I1,Shrub,2,3,4,3
1,5,2011,Rest,N0,I0,Herb,3,2,2,2
1,5,2011,Rest,N0,I1,Herb,4,4,3,4
1,5,2017,Rest,N75,I1,Herb,19,18,12,8
1,5,2017,Rest,N75,I1,Shrub,16,17,11,7
1,5,2017,Rest,N75,I0,Shrub,15,15,9,5
1,5,2017,Rest,N75,I1,Shrub,16,17,11,7
1,5,2017,Rest,N0,I1,Shrub,2,3,4,3
1,5,2017,Rest,N0,I0,Herb,3,2,2,2
1,5,2017,Rest,N0,I1,Herb,4,4,3,4
1,11,2009,Burn,N50,I1,Herb,13,12,8,8
1,11,2009,Burn,N25,I0,Herb,7,6,6,2
1,11,2009,Burn,N50,I0,Herb,12,10,6,6
1,11,2009,Burn,N0,I0,Herb,3,2,2,2
1,11,2009,Burn,N25,I0,Herb,7,6,6,2
1,11,2009,Burn,N0,I0,Herb,3,2,2,2
1,11,2009,Burn,N0,I0,Herb,3,2,2,2
1,11,2011,Rest,N75,I0,Herb,18,16,10,6
1,11,2011,Rest,N25,I0,Herb,7,6,6,2
1,11,2011,Rest,N75,I1,Herb,19,18,12,8
1,11,2011,Rest,N0,I0,Herb,3,2,2,2
1,11,2011,Rest,N0,I0,Herb,3,2,2,2
1,11,2011,Rest,N0,I0,Herb,3,2,2,2
1,11,2011,Rest,N0,I0,Herb,3,2,2,2
1,11,2017,Rest,N75,I1,Herb,19,18,12,8
1,11,2017,Rest,N75,I0,Herb,18,16,10,6
1,11,2017,Rest,N75,I0,Herb,18,16,10,6
1,11,2017,Rest,N0,I0,Herb,3,2,2,2
1,11,2017,Rest,N0,I0,Herb,3,2,2,2
1,11,2017,Rest,N75,I0,Herb,18,16,10,6
1,11,2017,Rest,N75,I0,Herb,18,16,10,6
1,3,2009,Burn,N50,I1,Herb,13,12,8,8
1,3,2009,Burn,N75,I0,Herb,18,16,10,6
1,3,2009,Burn,N75,I0,Herb,18,16,10,6
1,3,2011,Burn,N75,I0,Herb,18,16,10,6
1,3,2011,Burn,N50,I0,Shrub,9,9,5,5
1,3,2011,Burn,N75,I0,Herb,18,16,10,6
1,4,2009,Rest,N75,I2,Herb,20,20,12,8
1,4,2011,Burn,N75,I2,Shrub,17,19,11,7
66,199,2016,Rest,N75,I1,Shrub,16,17,11,7
66,199,2016,Rest,N75,I0,Shrub,15,15,9,5
66,199,2016,Rest,N75,I2,Herb,20,20,12,8
66,199,2016,Rest,N75,I1,Shrub,16,17,11,7
66,199,2016,Rest,N75,I1,Shrub,16,17,11,7
66,199,2009,Rest,N75,I0,Herb,18,16,10,6
66,199,2009,Rest,N75,I0,Herb,18,16,10,6
66,199,2009,Rest,N75,I2,Herb,20,20,12,8
66,199,2009,Rest,N75,I2,Herb,20,20,12,8
66,199,2009,Rest,N75,I2,Shrub,17,19,11,7
66,199,2010,Rest,N75,I0,Herb,18,16,10,6
66,199,2010,Rest,N75,I0,Herb,18,16,10,6
66,199,2010,Rest,N75,I1,Herb,19,18,12,8
66,199,2010,Rest,N75,I1,Shrub,16,17,11,7
66,199,2010,Rest,N75,I1,Shrub,16,17,11,7
66,200,2016,Rest,N75,I0,Shrub,15,15,9,5
66,200,2016,Rest,N75,I0,Shrub,15,15,9,5
66,200,2016,Rest,N75,I0,Shrub,15,15,9,5
66,200,2016,Rest,N75,I0,Shrub,15,15,9,5
66,200,2016,Rest,N75,I1,Herb,19,18,12,8
66,200,2009,Rest,N75,I0,Shrub,15,15,9,5
66,200,2009,Rest,N75,I0,Shrub,15,15,9,5
66,200,2009,Rest,N75,I0,Shrub,15,15,9,5
66,200,2009,Rest,N75,I1,Shrub,16,17,11,7
66,200,2009,Rest,N75,I0,Shrub,15,15,9,5
66,200,2009,Rest,N75,I2,Herb,20,20,12,8
66,200,2010,Rest,N75,I0,Shrub,15,15,9,5
66,200,2010,Rest,N75,I0,Shrub,15,15,9,5
66,200,2010,Rest,N75,I0,Shrub,15,15,9,5
66,200,2010,Rest,N75,I1,Shrub,16,17,11,7
66,200,2010,Rest,N75,I0,Shrub,15,15,9,5
66,200,2010,Rest,N75,I1,Herb,19,18,12,8
66,201,2016,Rest,N75,I1,Shrub,16,17,11,7
66,201,2016,Rest,N75,I0,Shrub,15,15,9,5
66,201,2016,Rest,N75,I0,Shrub,15,15,9,5
66,201,2016,Rest,N75,I0,Shrub,15,15,9,5
66,201,2016,Rest,N75,I1,Shrub,16,17,11,7
66,201,2009,Rest,N75,I0,Shrub,15,15,9,5
66,201,2009,Rest,N75,I0,Shrub,15,15,9,5
66,201,2010,Rest,N75,I1,Shrub,16,17,11,7
66,201,2010,Rest,N75,I0,Shrub,15,15,9,5
8,147,2008,Rest,N75,I2,Herb,20,20,12,8
8,147,2008,Rest,N0,I0,Herb,3,2,2,2
8,147,2008,Rest,N0,I1,Herb,4,4,3,4
8,147,2008,Rest,N75,I2,Herb,20,20,12,8
8,147,2008,Rest,N75,I0,Herb,18,16,10,6
8,147,2008,Rest,N75,I2,Herb,20,20,12,8
8,147,2008,Rest,N0,I1,Herb,4,4,3,4
8,147,2008,Rest,N0,I2,Herb,4,4,3,4
8,147,2008,Rest,N0,I1,Herb,4,4,3,4
8,147,2008,Rest,N75,I1,Herb,19,18,12,8
8,147,2008,Rest,N75,I2,Herb,20,20,12,8
8,147,2008,Rest,N0,I1,Herb,4,4,3,4
8,147,2009,Rest,N0,I0,Herb,3,2,2,2
8,147,2009,Rest,N75,I2,Herb,20,20,12,8
8,147,2009,Rest,N50,I0,Herb,12,10,6,6
8,147,2009,Rest,N50,I2,Herb,14,14,8,8
8,147,2009,Rest,N75,I2,Herb,20,20,12,8
8,147,2009,Rest,N0,I2,Herb,4,4,3,4
8,147,2010,Rest,N50,I0,Herb,12,10,6,6
8,147,2010,Rest,N75,I2,Herb,20,20,12,8
8,147,2010,Rest,N50,I1,Herb,13,12,8,8
8,147,2016,Rest,N50,I0,Herb,12,10,6,6
8,147,2016,Rest,N0,I0,Herb,3,2,2,2
8,147,2016,Rest,N0,I0,Herb,3,2,2,2
8,147,2016,Rest,N50,I1,Herb,13,12,8,8
8,147,2016,Rest,N0,I0,Herb,3,2,2,2
8,147,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2019,Rest,N50,I1,Herb,13,12,8,8
8,53,2019,Rest,N75,I2,Herb,20,20,12,8
8,53,2019,Rest,N75,I2,Herb,20,20,12,8
8,53,2019,Rest,N75,I2,Herb,20,20,12,8
8,53,2019,Rest,N50,I2,Herb,14,14,8,8
8,53,2019,Rest,N50,I1,Herb,13,12,8,8
8,53,2019,Rest,N50,I1,Herb,13,12,8,8
8,53,2019,Rest,N50,I1,Herb,13,12,8,8
8,53,2019,Rest,N75,I2,Herb,20,20,12,8
8,53,2019,Rest,N75,I2,Herb,20,20,12,8
8,53,2019,Rest,N75,I2,Herb,20,20,12,8
8,53,2019,Rest,N50,I2,Herb,14,14,8,8
8,53,2019,Rest,N50,I1,Herb,13,12,8,8
8,53,2019,Rest,N50,I1,Herb,13,12,8,8
8,53,2008,Burn,N75,I2,Herb,20,20,12,8
8,53,2008,Burn,N75,I2,Herb,20,20,12,8
8,53,2008,Burn,N75,I2,Herb,20,20,12,8
8,53,2008,Burn,N75,I1,Herb,19,18,12,8
8,53,2008,Burn,N75,I1,Herb,19,18,12,8
8,53,2008,Burn,N25,I2,Herb,8,8,8,4
8,53,2008,Burn,N75,I2,Herb,20,20,12,8
8,53,2008,Burn,N0,I1,Herb,4,4,3,4
8,53,2009,Rest,N75,I2,Herb,20,20,12,8
8,53,2009,Rest,N75,I2,Herb,20,20,12,8
8,53,2009,Rest,N75,I2,Herb,20,20,12,8
8,53,2009,Rest,N50,I2,Herb,14,14,8,8
8,53,2010,Rest,N75,I2,Herb,20,20,12,8
8,53,2010,Rest,N75,I2,Herb,20,20,12,8
8,53,2010,Rest,N75,I2,Herb,20,20,12,8
8,53,2010,Rest,N50,I1,Herb,13,12,8,8
8,53,2016,Rest,N0,I2,Herb,4,4,3,4
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N50,I2,Herb,14,14,8,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I1,Herb,19,18,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N25,I2,Herb,8,8,8,4
8,53,2016,Rest,N0,I2,Shrub,2,3,4,3
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N0,I2,Herb,4,4,3,4
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N50,I2,Herb,14,14,8,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N75,I1,Herb,19,18,12,8
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,53,2016,Rest,N25,I2,Herb,8,8,8,4
8,53,2016,Rest,N0,I2,Shrub,2,3,4,3
8,53,2016,Rest,N75,I2,Herb,20,20,12,8
8,54,2019,Rest,N75,I1,Herb,19,18,12,8
8,54,2019,Rest,N75,I0,Herb,18,16,10,6
8,54,2019,Rest,N75,I1,Herb,19,18,12,8
8,54,2019,Rest,N75,I1,Herb,19,18,12,8
8,54,2019,Rest,N75,I2,Herb,20,20,12,8
8,54,2019,Rest,N25,I1,Herb,8,8,8,4
8,54,2019,Rest,N75,I1,Herb,19,18,12,8
8,54,2019,Rest,N75,I0,Herb,18,16,10,6
8,54,2019,Rest,N75,I1,Herb,19,18,12,8
8,54,2019,Rest,N75,I1,Herb,19,18,12,8
8,54,2019,Rest,N75,I2,Herb,20,20,12,8
8,54,2019,Rest,N25,I1,Herb,8,8,8,4
8,54,2008,Burn,N75,I1,Herb,19,18,12,8
8,54,2008,Burn,N75,I2,Herb,20,20,12,8
8,54,2008,Burn,N75,I2,Herb,20,20,12,8
8,54,2008,Burn,N75,I2,Herb,20,20,12,8
8,54,2008,Burn,N0,I2,Herb,4,4,3,4
8,54,2009,Rest,N75,I2,Herb,20,20,12,8
8,54,2009,Rest,N75,I2,Shrub,17,19,11,7
8,54,2009,Rest,N75,I2,Herb,20,20,12,8
8,54,2010,Rest,N75,I2,Herb,20,20,12,8
8,54,2010,Rest,N75,I2,Herb,20,20,12,8
8,54,2010,Rest,N50,I2,Herb,14,14,8,8
8,54,2016,Rest,N50,I2,Herb,14,14,8,8
8,54,2016,Rest,N0,I2,Herb,4,4,3,4
8,54,2016,Rest,N50,I0,Herb,12,10,6,6
8,54,2016,Rest,N50,I0,Herb,12,10,6,6
8,54,2016,Rest,N50,I2,Herb,14,14,8,8
8,54,2016,Rest,N75,I2,Herb,20,20,12,8
8,54,2016,Rest,N75,I2,Shrub,17,19,11,7
8,54,2016,Rest,N75,I2,Herb,20,20,12,8
8,54,2016,Rest,N50,I2,Herb,14,14,8,8
8,54,2016,Rest,N25,I2,Herb,8,8,8,4
8,54,2016,Rest,N50,I2,Herb,14,14,8,8
8,54,2016,Rest,N0,I2,Herb,4,4,3,4
8,54,2016,Rest,N50,I0,Herb,12,10,6,6
8,54,2016,Rest,N50,I0,Herb,12,10,6,6
8,54,2016,Rest,N50,I2,Herb,14,14,8,8
8,54,2016,Rest,N75,I2,Herb,20,20,12,8
8,54,2016,Rest,N75,I2,Shrub,17,19,11,7
8,54,2016,Rest,N75,I2,Herb,20,20,12,8
8,54,2016,Rest,N50,I2,Herb,14,14,8,8
8,54,2016,Rest,N25,I2,Herb,8,8,8,4
30,94,2009,Rest,N50,I2,Herb,14,14,8,8
30,94,2011,Rest,N25,I1,Herb,8,8,8,4
30,94,2017,Rest,N75,I2,Herb,20,20,12,8
30,94,2017,Rest,N75,I2,Herb,20,20,12,8
30,94,2017,Rest,N75,I2,Herb,20,20,12,8
30,94,2017,Rest,N75,I2,Herb,20,20,12,8
30,94,2017,Rest,N75,I1,Herb,19,18,12,8
30,95,2009,Rest,N75,I1,Herb,19,18,12,8
30,95,2011,Rest,N75,I1,Herb,19,18,12,8
30,95,2017,Rest,N75,I2,Herb,20,20,12,8
30,95,2017,Rest,N50,I1,Herb,13,12,8,8
30,95,2017,Rest,N75,I1,Herb,19,18,12,8
30,95,2017,Rest,N75,I1,Herb,19,18,12,8
30,95,2017,Rest,N75,I0,Herb,18,16,10,6
2,12,2009,Rest,N75,I1,Herb,19,18,12,8
2,12,2009,Rest,N75,I2,Herb,20,20,12,8
2,12,2010,Burn,N75,I2,Herb,20,20,12,8
2,12,2010,Burn,N75,I2,Herb,20,20,12,8
2,12,2018,Rest,N75,I1,Herb,19,18,12,8
2,12,2018,Rest,N75,I1,Herb,19,18,12,8
2,12,2018,Rest,N75,I1,Herb,19,18,12,8
2,12,2018,Rest,N75,I1,Herb,19,18,12,8
2,12,2018,Rest,N75,I1,Herb,19,18,12,8
2,13,2009,Rest,N75,I2,Herb,20,20,12,8
2,13,2009,Rest,N0,I0,Herb,3,2,2,2
2,13,2010,Rest,N75,I2,Herb,20,20,12,8
2,13,2010,Rest,N25,I0,Herb,7,6,6,2
2,13,2018,Rest,N75,I2,Shrub,17,19,11,7
2,13,2018,Rest,N75,I0,Herb,18,16,10,6
2,13,2018,Rest,N75,I2,Herb,20,20,12,8
2,13,2018,Rest,N75,I2,Herb,20,20,12,8
2,16,2009,Rest,N75,I2,Herb,20,20,12,8
2,16,2010,Rest,N75,I2,Herb,20,20,12,8
2,16,2018,Rest,N75,I1,Herb,19,18,12,8
13,62,2019,Rest,N75,I1,Shrub,16,17,11,7
13,62,2019,Rest,N75,I1,Shrub,16,17,11,7
13,62,2019,Rest,N75,I1,Shrub,16,17,11,7
13,62,2019,Rest,N75,I1,Shrub,16,17,11,7
13,62,2019,Rest,N75,I0,Shrub,15,15,9,5
13,62,2008,Rest,N75,I1,Shrub,16,17,11,7
13,62,2009,Rest,N75,I1,Shrub,16,17,11,7
13,62,2010,Rest,N75,I1,Shrub,16,17,11,7
13,62,2014,Rest,N75,I0,Herb,18,16,10,6
13,62,2016,Rest,N75,I2,Shrub,17,19,11,7
13,62,2016,Rest,N75,I1,Herb,19,18,12,8
13,62,2016,Rest,N75,I1,Shrub,16,17,11,7
13,62,2016,Rest,N75,I1,Shrub,16,17,11,7
13,62,2016,Rest,N75,I0,Shrub,15,15,9,5
13,64,2019,Rest,N75,I1,Shrub,16,17,11,7
13,64,2019,Rest,N75,I1,Herb,19,18,12,8
13,64,2019,Rest,N75,I0,Shrub,15,15,9,5
13,64,2019,Rest,N75,I1,Shrub,16,17,11,7
13,64,2019,Rest,N75,I0,Herb,18,16,10,6
13,64,2008,Burn,N75,I2,Herb,20,20,12,8
13,64,2009,Rest,N75,I2,Herb,20,20,12,8
13,64,2010,Rest,N75,I2,Herb,20,20,12,8
13,64,2016,Rest,N75,I2,Herb,20,20,12,8
13,64,2016,Rest,N75,I2,Herb,20,20,12,8
13,64,2016,Rest,N75,I0,Shrub,15,15,9,5
13,64,2016,Rest,N75,I2,Herb,20,20,12,8
13,64,2016,Rest,N75,I1,Herb,19,18,12,8
12,61,2008,Rest,N75,I1,Herb,19,18,12,8
12,61,2008,Rest,N75,I1,Herb,19,18,12,8
12,61,2008,Rest,N75,I1,Herb,19,18,12,8
12,61,2008,Rest,N75,I1,Herb,19,18,12,8
12,61,2008,Rest,N75,I1,Shrub,16,17,11,7
12,61,2008,Rest,N75,I0,Herb,18,16,10,6
12,61,2009,Rest,N75,I2,Herb,20,20,12,8
12,61,2009,Rest,N75,I1,Herb,19,18,12,8
12,61,2009,Rest,N75,I1,Herb,19,18,12,8
12,61,2009,Rest,N75,I1,Shrub,16,17,11,7
12,61,2009,Rest,N50,I0,Herb,12,10,6,6
12,61,2009,Rest,N75,I1,Herb,19,18,12,8
12,61,2015,Rest,N75,I1,Shrub,16,17,11,7
12,61,2015,Rest,N75,I1,Herb,19,18,12,8
12,61,2015,Rest,N75,I1,Herb,19,18,12,8
12,61,2015,Rest,N75,I1,Herb,19,18,12,8
12,61,2015,Rest,N75,I1,Shrub,16,17,11,7
12,61,2015,Rest,N75,I1,Shrub,16,17,11,7
31,96,2008,Rest,N50,I0,Herb,12,10,6,6
31,96,2008,Rest,N50,I0,Herb,12,10,6,6
31,96,2008,Rest,N50,I1,Herb,13,12,8,8
31,96,2008,Rest,N50,I0,Herb,12,10,6,6
31,96,2009,Rest,N75,I1,Herb,19,18,12,8
31,96,2009,Rest,N50,I2,Herb,14,14,8,8
31,96,2009,Rest,N75,I2,Herb,20,20,12,8
31,96,2009,Rest,N50,I1,Herb,13,12,8,8
31,96,2012,Rest,N50,I2,Herb,14,14,8,8
31,96,2012,Rest,N75,I2,Herb,20,20,12,8
31,96,2012,Rest,N50,I1,Herb,13,12,8,8
31,96,2015,Rest,N75,I0,Herb,18,16,10,6
31,96,2015,Rest,N75,I2,Herb,20,20,12,8
31,96,2015,Rest,N50,I1,Herb,13,12,8,8
31,96,2015,Rest,N75,I0,Herb,18,16,10,6
31,96,2018,Rest,N75,I0,Herb,18,16,10,6
31,96,2018,Rest,N75,I2,Herb,20,20,12,8
31,96,2018,Rest,N75,I2,Herb,20,20,12,8
31,96,2018,Rest,N75,I1,Herb,19,18,12,8
31,96,2018,Rest,N75,I0,Herb,18,16,10,6
31,97,2012,Rest,N50,I1,Herb,13,12,8,8
31,97,2015,Rest,N75,I0,Herb,18,16,10,6
31,97,2018,Rest,N75,I0,Herb,18,16,10,6
31,97,2018,Rest,N75,I1,Herb,19,18,12,8
31,97,2018,Rest,N50,I2,Herb,14,14,8,8
31,97,2018,Rest,N75,I1,Herb,19,18,12,8
31,97,2018,Rest,N75,I2,Herb,20,20,12,8
14,66,2008,Rest,N75,I1,Herb,19,18,12,8
14,66,2008,Rest,N75,I1,Herb,19,18,12,8
14,66,2008,Rest,N75,I0,Shrub,15,15,9,5
14,66,2008,Rest,N75,I1,Herb,19,18,12,8
14,66,2012,Rest,N75,I0,Herb,18,16,10,6
14,66,2012,Rest,N75,I0,Herb,18,16,10,6
14,66,2012,Rest,N75,I0,Shrub,15,15,9,5
14,66,2012,Rest,N75,I0,Herb,18,16,10,6
14,66,2015,Burn,N75,I1,Shrub,16,17,11,7
14,66,2015,Burn,N75,I1,Herb,19,18,12,8
14,66,2015,Burn,N75,I0,Shrub,15,15,9,5
14,66,2015,Burn,N75,I1,Herb,19,18,12,8
